text,label
"Congratulations! You won a lottery. Click here to claim your prize now http://fake-link.com",1
"Your bank account is suspended. Verify your details immediately using this link",1
"Urgent! You have received a reward. Login now to collect money",1
"Click this link to update your password and avoid account closure",1
"Free gift card available. Claim your offer today",1
"Meeting scheduled tomorrow at 10 AM. Please check the attached agenda",0
"Hi team, please review the project report and share feedback",0
"Your Amazon order has been shipped successfully",0
"Please find the invoice attached for your reference",0
"Reminder: Your appointment is scheduled for Monday",0
